symbol,date,close,high,low,open
AAPL,2020-12-08 17:15:00+00:00,124.02,124.085,123.89,124.04
AAPL,2020-12-08 17:20:00+00:00,124.01,124.07,123.94,124.025
AAPL,2020-12-08 17:25:00+00:00,124.07,124.105,123.98,124.015
AAPL,2020-12-08 17:30:00+00:00,124.14,124.17,124.02,124.055
AAPL,2020-12-08 17:35:00+00:00,124.32,124.32,124.09,124.145
AAPL,2020-12-08 17:40:00+00:00,124.22,124.31,124.18,124.31
AAPL,2020-12-08 17:45:00+00:00,124.23,124.255,124.13,124.22
AAPL,2020-12-08 17:50:00+00:00,124.375,124.395,124.18,124.235
AAPL,2020-12-08 17:55:00+00:00,124.295,124.395,124.25,124.375
AAPL,2020-12-08 18:00:00+00:00,124.43,124.43,124.23,124.3
AAPL,2020-12-08 18:05:00+00:00,124.485,124.515,124.33,124.42
AAPL,2020-12-08 18:10:00+00:00,124.75,124.785,124.495,124.495
AAPL,2020-12-08 18:15:00+00:00,124.7,124.815,124.68,124.77
AAPL,2020-12-08 18:20:00+00:00,124.66,124.715,124.58,124.67
AAPL,2020-12-08 18:25:00+00:00,124.71,124.745,124.63,124.68
AAPL,2020-12-08 18:30:00+00:00,124.65,124.76,124.635,124.71
AAPL,2020-12-08 18:35:00+00:00,124.71,124.75,124.47,124.645
AAPL,2020-12-08 18:40:00+00:00,124.83,124.865,124.625,124.71
AAPL,2020-12-08 18:45:00+00:00,124.77,124.84,124.73,124.83
AAPL,2020-12-08 18:50:00+00:00,124.72,124.84,124.65,124.81
AAPL,2020-12-08 18:55:00+00:00,124.76,124.775,124.58,124.72
AAPL,2020-12-08 19:00:00+00:00,124.59,124.81,124.545,124.76
AAPL,2020-12-08 19:05:00+00:00,124.505,124.66,124.475,124.595
AAPL,2020-12-08 19:10:00+00:00,124.495,124.555,124.38,124.495
AAPL,2020-12-08 19:15:00+00:00,124.515,124.59,124.475,124.475
AAPL,2020-12-08 19:20:00+00:00,124.625,124.665,124.49,124.52
AAPL,2020-12-08 19:25:00+00:00,124.765,124.84,124.605,124.62
AAPL,2020-12-08 19:30:00+00:00,124.76,124.835,124.68,124.805
AAPL,2020-12-08 19:35:00+00:00,124.73,124.81,124.69,124.76
AAPL,2020-12-08 19:40:00+00:00,124.835,124.845,124.725,124.725
AAPL,2020-12-08 19:45:00+00:00,124.755,124.845,124.71,124.835
AAPL,2020-12-08 19:50:00+00:00,124.885,124.92,124.725,124.755
AAPL,2020-12-08 19:55:00+00:00,124.975,124.975,124.88,124.885
AAPL,2020-12-08 20:00:00+00:00,124.8,124.985,124.78,124.96
AAPL,2020-12-08 20:05:00+00:00,124.845,124.86,124.775,124.805
AAPL,2020-12-08 20:10:00+00:00,124.92,124.92,124.8,124.845
AAPL,2020-12-08 20:15:00+00:00,124.745,124.97,124.725,124.925
AAPL,2020-12-08 20:20:00+00:00,124.81,124.855,124.7,124.735
AAPL,2020-12-08 20:25:00+00:00,124.83,124.915,124.755,124.81
AAPL,2020-12-08 20:30:00+00:00,124.8,124.895,124.775,124.83
AAPL,2020-12-08 20:35:00+00:00,124.73,124.83,124.715,124.785
AAPL,2020-12-08 20:40:00+00:00,124.735,124.745,124.645,124.73
AAPL,2020-12-08 20:45:00+00:00,124.645,124.82,124.625,124.725
AAPL,2020-12-08 20:50:00+00:00,124.45,124.69,124.43,124.645
AAPL,2020-12-08 20:55:00+00:00,124.44,124.485,124.33,124.45
AAPL,2020-12-08 21:00:00+00:00,124.44,124.44,124.44,124.44
AAPL,2020-12-09 14:30:00+00:00,124.06,124.78,123.945,124.5
AAPL,2020-12-09 14:35:00+00:00,124.41,124.485,123.87,124.06
AAPL,2020-12-09 14:40:00+00:00,124.86,124.93,124.26,124.4
AAPL,2020-12-09 14:45:00+00:00,125.46,125.61,124.85,124.85
AAPL,2020-12-09 14:50:00+00:00,125.58,125.75,125.25,125.46
AAPL,2020-12-09 14:55:00+00:00,125.865,125.95,125.535,125.535
AAPL,2020-12-09 15:00:00+00:00,125.43,125.89,125.265,125.865
AAPL,2020-12-09 15:05:00+00:00,125.31,125.64,125.3,125.425
AAPL,2020-12-09 15:10:00+00:00,124.76,125.375,124.75,125.325
AAPL,2020-12-09 15:15:00+00:00,125.09,125.09,124.6,124.705
AAPL,2020-12-09 15:20:00+00:00,125.195,125.195,125.01,125.07
AAPL,2020-12-09 15:25:00+00:00,125.075,125.32,125.075,125.22
AAPL,2020-12-09 15:30:00+00:00,125.19,125.245,125.01,125.07
AAPL,2020-12-09 15:35:00+00:00,124.865,125.21,124.8,125.19
AAPL,2020-12-09 15:40:00+00:00,124.995,125.09,124.83,124.835
AAPL,2020-12-09 15:45:00+00:00,125.185,125.185,124.89,124.995
AAPL,2020-12-09 15:50:00+00:00,125.29,125.325,125.14,125.18
AAPL,2020-12-09 15:55:00+00:00,125.42,125.46,125.28,125.29
AAPL,2020-12-09 16:00:00+00:00,124.955,125.43,124.945,125.38
AAPL,2020-12-09 16:05:00+00:00,125.175,125.18,124.85,124.99
AAPL,2020-12-09 16:10:00+00:00,125.08,125.34,125.06,125.21
AAPL,2020-12-09 16:15:00+00:00,124.895,125.135,124.885,125.06
AAPL,2020-12-09 16:20:00+00:00,125.12,125.15,124.885,124.89
AAPL,2020-12-09 16:25:00+00:00,125.22,125.265,125.035,125.115
AAPL,2020-12-09 16:30:00+00:00,125.085,125.29,125.05,125.225
AAPL,2020-12-09 16:35:00+00:00,125.085,125.13,124.955,125.01
AAPL,2020-12-09 16:40:00+00:00,125.02,125.1,124.99,125.085
AAPL,2020-12-09 16:45:00+00:00,124.8,125.025,124.75,125.0
AAPL,2020-12-09 16:50:00+00:00,124.85,124.85,124.675,124.8
AAPL,2020-12-09 16:55:00+00:00,124.915,124.92,124.705,124.84
AAPL,2020-12-09 17:00:00+00:00,124.73,124.925,124.72,124.885
AAPL,2020-12-09 17:05:00+00:00,124.66,124.77,124.51,124.735
AAPL,2020-12-09 17:10:00+00:00,124.59,124.705,124.55,124.64
AAPL,2020-12-09 17:15:00+00:00,124.3,124.595,124.235,124.585
AAPL,2020-12-09 17:20:00+00:00,124.29,124.335,124.12,124.275
AAPL,2020-12-09 17:25:00+00:00,124.41,124.435,124.325,124.325
AAPL,2020-12-09 17:30:00+00:00,124.135,124.345,124.01,124.345
AAPL,2020-12-09 17:35:00+00:00,123.67,124.15,123.645,124.14
AAPL,2020-12-09 17:40:00+00:00,123.58,123.805,123.555,123.685
AAPL,2020-12-09 17:45:00+00:00,123.225,123.575,123.16,123.555
AAPL,2020-12-09 17:50:00+00:00,123.48,123.495,122.84,123.18
AAPL,2020-12-09 17:55:00+00:00,123.65,123.705,123.33,123.475
AAPL,2020-12-09 18:00:00+00:00,123.105,123.65,123.075,123.65
AAPL,2020-12-09 18:05:00+00:00,123.69,123.71,123.03,123.105
AAPL,2020-12-09 18:10:00+00:00,123.43,123.68,123.26,123.675
AAPL,2020-12-09 18:15:00+00:00,123.375,123.68,123.32,123.43
AAPL,2020-12-09 18:20:00+00:00,123.255,123.48,123.17,123.375
AAPL,2020-12-09 18:25:00+00:00,122.78,123.235,122.645,123.225
AAPL,2020-12-09 18:30:00+00:00,122.19,122.81,122.06,122.785
AAPL,2020-12-09 18:35:00+00:00,122.13,122.46,121.89,122.18
AAPL,2020-12-09 18:40:00+00:00,122.165,122.245,121.62,122.075
AAPL,2020-12-09 18:45:00+00:00,122.375,122.505,122.11,122.145
AAPL,2020-12-09 18:50:00+00:00,122.115,122.4,122.095,122.37
AAPL,2020-12-09 18:55:00+00:00,121.655,122.165,121.65,122.13
AAPL,2020-12-09 19:00:00+00:00,122.1,122.21,121.665,121.665
AAPL,2020-12-09 19:05:00+00:00,122.035,122.22,121.97,122.075
AAPL,2020-12-09 19:10:00+00:00,121.955,122.06,121.78,122.03
AAPL,2020-12-09 19:15:00+00:00,122.065,122.115,121.68,121.935
AAPL,2020-12-09 19:20:00+00:00,122.04,122.07,121.925,122.045
AAPL,2020-12-09 19:25:00+00:00,122.21,122.22,121.895,122.03
AAPL,2020-12-09 19:30:00+00:00,121.95,122.25,121.82,122.215
AAPL,2020-12-09 19:35:00+00:00,121.85,122.06,121.82,121.97
AAPL,2020-12-09 19:40:00+00:00,121.12,121.905,121.0,121.845
AAPL,2020-12-09 19:45:00+00:00,121.58,121.605,121.155,121.155
AAPL,2020-12-09 19:50:00+00:00,121.475,121.67,121.345,121.595
AAPL,2020-12-09 19:55:00+00:00,121.64,121.7,121.465,121.47
AAPL,2020-12-09 20:00:00+00:00,121.595,121.65,121.48,121.64
AAPL,2020-12-09 20:05:00+00:00,121.92,121.96,121.575,121.6
AAPL,2020-12-09 20:10:00+00:00,121.635,122.01,121.505,121.92
AAPL,2020-12-09 20:15:00+00:00,121.715,121.735,121.575,121.62
AAPL,2020-12-09 20:20:00+00:00,121.445,121.915,121.44,121.7
AAPL,2020-12-09 20:25:00+00:00,121.255,121.46,121.07,121.445
AAPL,2020-12-09 20:30:00+00:00,121.5,121.51,121.21,121.25
